"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","Prob_fogo","HasFire_Predict"
"1","not-burned",677.8219548,1.522939368,0.509883318,13673.71652,273.9121146,2.507019997,535.2159061,"4",29.07964984,54.98008236,14.23675685,0.437690807854338,"1"
"2","not-burned",718.0296793,1.197509359,0.52907819,1416.048386,162.9209702,0.672481,2642.55784,"4",25.29100564,92.0724348,12.47997537,0.0442464781296169,"1"
"3","not-burned",732.6381541,2.481048731,0.534255548,10679.97572,241.1579031,0.48012501,1627.735351,"4",29.0798204,51.97540939,6.969567411,0.337162026578023,"1"
"4","not-burned",732.3137148,2.232790261,0.463694781,12602.71852,875.6495068,2.507019997,2149.284479,"4",27.90004853,88.29897223,8.685840654,0.137632278503439,"1"
"5","not-burned",771.4346559,1.388626773,0.538457765,4656.736913,3283.579032,2.220340014,4763.325774,"4",28.94928868,36.59373292,13.21294094,0.4641449334058,"1"
"6","not-burned",823.6580544,0.967651685,0.354311103,2601.310245,1413.944774,0.895577013,8290.49811,"4",23.24112733,80.82703784,15.59361119,0.651480731110579,"1"
"7","not-burned",791.7652614,1.721519393,0.402252213,3294.322223,3236.306548,0.48012501,3491.396339,"4",28.28503233,61.47871217,10.76817265,0.760629539479102,"1"
"8","not-burned",806.2619497,1.865604091,0.512183324,4137.036102,1791.133583,0.48012501,3665.816248,"4",29.74852448,35.03097344,9.457100219,0.68401916642737,"1"
"9","not-burned",822.9898104,0.813536863,0.451833328,3529.295283,1795.176008,0.802272975,7178.153002,"4",26.66425929,37.42670293,10.35818363,0.833882478388032,"1"
"10","not-burned",765.6291942,4.871848972,0.546409513,181.7202814,222.93214,0.802272975,496.8579756,"4",25.25809995,87.17031453,10.297773,0.0403470441891251,"1"
"11","not-burned",688.4879871,1.686812274,0.557083338,7620.014053,190.5963728,0.48012501,1207.301595,"4",21.14974589,43.41830979,14.3421122,0.407133358649606,"1"
"12","not-burned",684.8247251,1.499449304,0.74017663,1023.949369,435.2811862,2.220340014,396.3660105,"3",25.29391384,67.21103003,9.135465979,0.0533700770184095,"1"
"13","not-burned",810.1593597,1.781048525,0.49493222,309.9170155,771.9538646,0.802272975,5092.464707,"4",23.25144425,34.94417095,10.81242155,0.770161775148586,"1"
"14","not-burned",760.8499952,2.441764473,0.454247773,3205.565099,156.9486932,0.802272975,3401.488326,"4",25.96633554,49.03452376,10.76133448,0.771639504843796,"1"
"15","not-burned",776.6561155,1.757145352,0.552498796,7214.25159,218.4019532,0.802272975,7855.420281,"4",25.19580024,79.00758795,5.449622134,0.0319088771313603,"1"
"16","not-burned",736.0363723,1.296447142,0.396939273,3253.188224,251.111827,1.103440046,2816.27627,"4",20.83696619,64.57339078,13.88548938,0.818288321307105,"1"
"17","not-burned",749.0517931,1.700274852,0.514626658,2086.675497,477.9669322,0.802272975,8103.202155,"4",26.19913771,67.50028379,12.58821249,0.147669533682898,"1"
"18","not-burned",819.0180932,1.028738242,0.422505542,3950.310786,1936.169716,0.802272975,9476.239729,"12",25.17902127,83.80625854,11.9108705,0.0434370401165949,"1"
"19","burned",819.8311449,1.289832244,0.665129543,287.4528295,1031.338566,0.802272975,4021.48242,"4",26.43928571,58.69047619,8.989583333,0.0204843597584044,"1"
"20","burned",817.6991585,2.004671941,0.370704545,369.2584373,1020.927743,0.802272975,3509.017266,"4",22.26488095,50.39880952,14.49553571,0.946677677419539,"1"
"21","burned",711.3482071,2.343538186,0.409213967,9061.652206,1069.148183,0.48012501,1638.556086,"4",24.20238095,73.84821429,8.665684524,0.600678208805241,"1"
"22","burned",735.90895,1.65687943,0.363571948,707.6277556,556.8103694,0.802272975,9681.543256,"4",27.53988095,45.13988095,8.686517857,0.943501352527771,"1"
"23","burned",824.8648323,1.272868621,0.250031808,899.7991232,2354.720681,0.889882401,7061.897987,"4",21.48571429,56.2797619,13.06815476,0.989380988390629,"1"
"24","burned",705.0443018,1.446087557,0.488260094,863.6219777,342.4625926,1.086119405,1444.100473,"15",27.89732143,48.55952381,6.543630952,0.096499074161716,"1"
"25","burned",811.266537,1.052074822,0.203056455,1545.956497,2580.213632,0.895577013,11851.95924,"4",26.53869048,55.00297619,11.80761905,0.993847797418398,"1"
"26","burned",760.2085074,1.424016243,0.390884155,203.864575,1783.661468,1.103440046,3426.890414,"12",26.10982143,62.23511905,9.955565476,0.439937955680897,"1"
"27","burned",619.8971315,1.842922953,0.53387821,11528.42363,287.4140768,2.484396252,882.7146985,"4",25.96130952,45.7172619,14.97303571,0.466888879602343,"1"
"28","burned",727.0890535,1.813589303,0.499767062,8436.239789,1289.536295,0.48012501,1810.181057,"4",24.20238095,73.84821429,8.665684524,0.186034209273431,"1"
"29","burned",689.0987159,0.976507294,0.449153638,9799.127214,508.6277688,0.48012501,3400.449365,"4",26.69553571,53.95833333,15.2072619,0.713196471658718,"1"
"30","burned",721.3900134,1.201432865,0.451354201,186.4042559,583.356466,0.802272975,3686.65521,"4",22.24613095,54.91071429,15.30633929,0.726786173580242,"1"
"31","burned",807.8528406,0.756931913,0.542415986,7759.001377,1763.63356,1.103440046,5326.952065,"41",25.32946429,53.69345238,7.258541667,1.98755939877976e-07,"1"
"32","burned",806.9420753,0.726505288,0.407325913,7362.07881,1681.492766,1.103440046,5633.829437,"4",25.32946429,53.69345238,7.258541667,0.820782187576635,"1"
"33","burned",787.2502176,2.477125444,0.357711645,720.5180214,854.7390541,1.103440046,3731.044391,"4",26.10982143,62.23511905,9.955565476,0.907638155067413,"1"
"34","burned",825.4526212,0.851107316,0.536972727,1744.093547,2285.622325,0.895577013,9167.185118,"4",27.10178571,56.95833333,6.507291667,0.149765268956606,"1"
"35","burned",803.1362363,1.15826545,0.637953873,8374.726513,1209.82293,1.103440046,4783.824415,"3",25.32946429,53.69345238,7.258541667,0.377177600230709,"1"
"36","burned",700.7822478,1.805997649,0.407969601,9349.695359,819.0181844,0.48012501,1838.888032,"4",24.20238095,73.84821429,8.665684524,0.618027590287089,"0"
"37","not-burned",780.8321191,3.312793544,0.443803559,2793.427211,515.3263498,0.802272975,2644.057447,"4",20.06408721,70.44927183,17.44197506,0.485883938777107,"1"
"38","not-burned",838.961249,1.445043653,0.563342216,6116.832282,463.3197555,0.48012501,7868.469876,"4",27.12918828,37.95216983,16.6039478,0.309343904526828,"1"
"39","not-burned",693.41567,2.203409529,0.466428872,10266.69314,329.3286643,1.090920941,4232.831212,"12",23.12200951,73.44709323,5.072705732,0.0557489691398886,"1"
"40","not-burned",766.4659702,1.732814153,0.463231241,1133.391452,1218.426467,1.103440046,2652.202078,"4",24.07547724,39.21428296,9.491290006,0.854564595428067,"1"
"41","not-burned",728.4376992,1.826583163,0.559289992,3423.440726,593.2270835,1.103440046,2676.139264,"4",28.43561347,76.97818369,4.640401064,0.0557489392031954,"1"
"42","not-burned",795.4213218,1.131447048,0.536535547,2437.294829,3874.106135,0.48012501,5271.57555,"4",19.37438548,92.59466227,8.808262446,0.0182813595891388,"1"
"43","not-burned",671.1190019,1.669084237,0.619814084,366.4877843,147.4308528,2.220340014,940.8759934,"4",24.66811199,90.75471794,17.5278631,0.00880709530623251,"1"
"44","not-burned",667.1489311,1.921699116,0.474240182,9300.947141,1071.124522,2.220340014,1535.791675,"4",28.42681273,91.94502115,7.89330909,0.103731904767626,"1"
"45","not-burned",673.569037,1.755251161,0.561184523,200.3423625,725.8551257,2.220340014,980.1417166,"4",28.43948317,41.83856212,13.21457082,0.446635456600368,"1"
"46","not-burned",820.6080457,0.90089803,0.559788525,1759.386648,1117.488894,0.802272975,6501.642052,"4",27.42773608,73.92291768,17.47290282,0.0487888716550269,"1"
"47","not-burned",765.5094426,1.638508227,0.542999985,2695.587813,1319.689432,0.802272975,6586.997384,"4",30.13294264,44.75364339,14.54460661,0.323466476297199,"1"
"48","not-burned",751.6927444,3.250648881,0.436596861,4918.522054,1473.001969,0.48012501,3591.587488,"4",25.8909053,74.00536388,5.617970906,0.400309359713889,"1"
"49","not-burned",692.9077718,1.738000647,0.628119767,988.9252888,243.0415458,0.86051755,571.6028216,"3",26.93118701,69.38675368,9.028894626,0.334725357195934,"1"
"50","not-burned",733.1683871,1.830920483,0.484557772,2197.412522,256.3796488,0.802272975,3192.312306,"4",23.39436026,71.24448379,9.394328066,0.298875226251009,"1"
"51","not-burned",774.469085,6.826018736,0.543308882,1337.750959,1718.177357,2.220340014,1277.08116,"4",19.79723389,82.62504037,16.80423873,0.0376328508754104,"1"
"52","not-burned",819.6969856,0.88456677,0.412732135,4526.418007,1428.53531,0.802272975,9171.053098,"12",19.4160134,88.89599673,6.497869099,0.041198045690446,"1"
"53","not-burned",758.2885782,2.917087513,0.395143322,3403.364991,1644.246744,0.48012501,1957.390997,"12",28.38204047,90.00270346,10.23452294,0.0935822393502221,"1"
"54","not-burned",749.2424523,2.76950294,0.488021096,1480.502352,398.1422775,0.802272975,1970.158763,"4",26.49808399,78.27897556,12.93228045,0.204450254613174,"1"
"55","not-burned",761.8834496,3.60313212,0.538778569,1248.248642,203.9163856,0.802272975,2171.331346,"4",22.29297936,58.49979636,7.342868887,0.243268378890936,"1"
"56","not-burned",695.2689681,1.609514406,0.499759514,439.1131778,1477.766057,2.220340014,1040.444731,"4",19.30922471,71.22699692,18.37188949,0.264498722334607,"1"
"57","not-burned",802.0569749,1.273095559,0.476644433,2029.286028,1854.948609,1.103440046,2527.272245,"4",20.08003299,51.16159783,16.18739892,0.652161128543619,"1"
"58","not-burned",742.6204707,2.1452144,0.48914478,14771.44227,715.4499566,2.507019997,2258.468157,"12",27.02341358,42.12747419,17.32359337,0.248882388884585,"0"
"59","not-burned",809.0487635,1.781511617,0.492713721,1029.04675,396.0184964,0.48012501,11764.58269,"4",29.26214428,84.84471039,17.27978522,0.0554315192443348,"1"
"60","not-burned",731.3377655,2.458563601,0.487514092,6131.16602,558.2012209,0.48012501,3292.514324,"4",19.81024701,62.10027936,7.00327952,0.381269873706738,"1"
"61","not-burned",825.5726464,1.448192302,0.37345685,1029.031162,1746.736959,0.48012501,9100.792246,"12",24.30817378,90.05700194,6.099478058,0.0836958110661802,"1"
"62","not-burned",691.44689,5.954856085,0.65540665,190.0651593,380.5585459,2.220340014,1194.317314,"4",23.34111668,85.37309327,5.321318546,0.00399026078335931,"0"
"63","not-burned",820.7747472,0.840027894,0.527494431,555.692394,1032.410395,0.802272975,4395.83635,"4",24.36369394,44.13674386,6.735734907,0.503391392262099,"1"
"64","not-burned",792.3812789,4.752151223,0.510933318,1013.58347,1605.561542,2.220340014,899.2711501,"4",23.56656611,67.12443267,14.05117869,0.220843335273864,"1"
"65","not-burned",698.8996074,1.651850922,0.434588087,10074.45284,479.2228387,0.48012501,1153.196734,"4",25.62817628,34.57453212,12.53775312,0.938104879046797,"1"
"66","not-burned",805.7774135,1.263492722,0.437895544,4440.69817,1791.953735,0.48012501,13473.47878,"12",28.49397709,40.1136068,7.435740833,0.298122388815942,"0"
"67","not-burned",752.451002,2.058155253,0.408076654,955.2467061,957.9492135,0.914987391,9651.362769,"4",19.30317769,66.06208493,8.241860239,0.590004768803017,"1"
"68","not-burned",790.1092929,2.949137069,0.472461108,2833.617411,260.9446003,0.802272975,2447.624175,"4",28.75432535,41.38168642,11.85475836,0.804191138346798,"0"
"69","not-burned",729.9919508,1.503962817,0.541306655,2529.143504,276.0453169,0.802272975,7045.234488,"4",20.28391849,59.80485837,15.98482404,0.161580906722318,"0"
"70","not-burned",758.5295763,2.298216947,0.436634509,2473.628785,206.617843,2.507019997,3655.4357,"12",22.49929995,56.24011535,17.23945752,0.31718522098547,"1"
"71","not-burned",719.9832704,1.447779118,0.604001019,2839.382486,1417.666192,0.802272975,1600.868492,"4",26.49516673,64.91719851,7.371462369,0.0532954098398961,"1"
"72","not-burned",804.8407132,0.707759246,0.496245231,5351.241227,1046.498789,2.220340014,3309.154035,"4",20.99564217,80.92939853,12.00848582,0.136450979038426,"1"
"73","not-burned",740.0866015,3.062437035,0.540611112,1099.728135,717.940856,0.48012501,443.4352075,"4",26.6007497,87.02224557,7.967052907,0.0495029840363096,"0"
"74","not-burned",754.1096418,3.600239526,0.476772606,4202.060676,1262.800034,0.48012501,2444.994834,"4",22.03091911,85.1742422,18.02610698,0.132195458062376,"0"
"75","not-burned",836.0131643,1.256306664,0.468247909,2616.747724,1691.623768,0.48012501,10111.07083,"12",25.10568953,39.31545985,7.174244282,0.263020190214527,"0"
"76","not-burned",816.4501703,1.157899826,0.400932131,1762.5711,3971.446633,0.48012501,5325.907936,"4",25.71052323,48.35095677,17.43103319,0.86915355287086,"1"
"77","not-burned",673.0082961,1.846838624,0.501923323,227.3273498,960.6909308,2.220340014,411.9508677,"4",20.05768911,89.69625422,10.94187466,0.0976335145421146,"1"
"78","burned",787.3166168,3.809106524,0.317617702,4283.684561,867.1678096,0.48012501,3785.271275,"4",23.78541667,40.9702381,9.771904762,0.987563896189521,"1"
"79","burned",792.4816995,2.312964781,0.331693152,7493.62752,642.6930917,0.48012501,3832.384857,"4",27.87202381,36.36309524,9.829553571,0.988625750601639,"1"
"80","burned",716.4248419,2.081773116,0.438523168,9251.931634,485.5523094,0.48012501,1595.47176,"12",26.72619048,32.75595238,10.93133929,0.697995501621253,"1"
"81","burned",747.5891448,1.695244365,0.424301533,4416.395199,187.8732551,0.802272975,5504.680717,"4",29.61636905,35.90178571,16.61464286,0.928049181174045,"0"
"82","burned",814.1036085,1.11442478,0.229247642,986.5189382,1292.514739,1.103440046,3739.407521,"4",26.24107143,32.52380952,11.64666667,0.999157967928445,"1"
"83","burned",793.958203,0.803623802,0.228038101,4075.504355,2437.520131,0.48012501,4957.398559,"12",23.99583333,46.94642857,11.95422619,0.981107381058364,"1"
"84","burned",765.8538249,2.512239869,0.350307042,4585.860537,1523.231116,0.48012501,3889.847782,"4",23.78541667,40.9702381,9.771904762,0.976020044137378,"0"
"85","burned",771.2892641,2.118934239,0.256208197,7866.199431,277.2751798,0.48012501,4962.832948,"15",27.87202381,36.36309524,9.829553571,0.946957243070666,"0"
"86","burned",694.2376988,1.764842377,0.451369104,1161.04809,440.7495246,0.802272975,808.5819595,"4",23.69761905,37.22619048,10.4727381,0.919420305038135,"1"
"87","burned",690.3820626,1.689690178,0.816991815,503.2283954,214.8052988,0.73114143,873.8702464,"3",25.08005952,64.79761905,9.069791667,0.012714091128122,"1"
"88","burned",755.3561992,2.372358566,0.229183666,10200.47733,402.5305483,0.48012501,3119.447203,"4",26.72619048,32.75595238,10.93133929,0.998988831537917,"1"
"89","burned",617.5118055,1.995611356,0.648671077,11266.75258,253.6606716,2.302584271,595.2333593,"4",24.70297619,61.40178571,6.029761905,0.0268258618026717,"1"
"90","burned",783.9704314,2.644342797,0.357684507,3511.384419,2497.835156,0.48012501,2730.10697,"4",23.13154762,51.86904762,11.68702381,0.944267867870597,"1"
"91","burned",762.2273975,4.091812128,0.353661308,4872.199482,188.3687416,0.48012501,3247.66212,"4",23.13154762,51.86904762,11.68702381,0.951006110441266,"0"
"92","burned",793.1166531,2.572886424,0.265013059,3682.311218,1927.127178,0.48012501,3325.46194,"4",23.78541667,40.9702381,9.771904762,0.996041512310058,"1"
"93","burned",789.3009979,2.1466225,0.242330307,1411.792161,1894.32288,1.103440046,2065.772573,"4",26.24107143,32.52380952,11.64666667,0.99889980631884,"0"
"94","burned",822.8701221,0.999568081,0.372740941,274.1089801,1427.204399,0.802272975,3244.104991,"4",25.98065476,64.28869048,7.589672619,0.875715690633729,"0"
"95","burned",779.2279129,2.144300815,0.278151887,8571.040658,450.2141764,0.48012501,3237.701779,"4",27.34196429,36.6875,11.73315476,0.996458342123128,"0"
"96","burned",802.118587,1.866787779,0.278167526,1003.443239,1642.788268,1.103440046,3853.331213,"4",26.24107143,32.52380952,11.64666667,0.997359580599041,"1"
"97","burned",793.537941,2.670430546,0.37530804,7166.888237,818.5531215,0.48012501,3426.495599,"12",27.87202381,36.36309524,9.829553571,0.844176921535128,"1"
"98","burned",776.8957728,3.078337008,0.366495847,2881.544639,2197.73762,0.48012501,2010.044266,"4",23.13154762,51.86904762,11.68702381,0.938919623793464,"1"
"99","burned",739.9980341,4.18931359,0.410479577,11035.39166,146.6815567,0.48012501,2149.208721,"4",26.72619048,32.75595238,10.93133929,0.954399857998646,"0"
"100","burned",697.8581346,2.238388512,0.576243396,440.0982881,143.1536513,1.022821031,444.2801264,"4",23.69761905,37.22619048,10.4727381,0.465179434628762,"1"
"101","burned",722.3893075,4.039432547,0.513300989,11431.95314,273.1374912,0.48012501,1570.779649,"4",27.34196429,36.6875,11.73315476,0.659528998016644,"1"
